,title,url,published,publishedAt,category
31,New York Jets Flight Connections 4/4/22 - Gang Green Nation | sports,https://news.google.com/__i/rss/rd/articles/CBMiWWh0dHBzOi8vd3d3LmdhbmdncmVlbm5hdGlvbi5jb20vMjAyMi80LzQvMjMwMDk0NTEvbmV3LXlvcmstamV0cy1mbGlnaHQtY29ubmVjdGlvbnMtNC00LTIy0gEA?oc=5,"Mon, 04 Apr 2022 11:00:00 GMT",1649070000,sports
32,Bangladesh to lodge formal complaint with ICC against Durban Test umpiring - ESPNcricinfo | sports,https://news.google.com/__i/rss/rd/articles/CBMiiAFodHRwczovL3d3dy5lc3BuY3JpY2luZm8uY29tL3N0b3J5L3NhLXZzLWJhbi0xc3QtdGVzdC1iYW5nbGFkZXNoLXRvLWxvZGdlLWZvcm1hbC1jb21wbGFpbnQtd2l0aC1pY2MtYWdhaW5zdC1kdXJiYW4tdGVzdC11bXBpcmluZy0xMzA5MTYz0gEA?oc=5,"Mon, 04 Apr 2022 12:54:21 GMT",1649076861,sports
33,"Tommy Davis, 2-time NL batting champion with Los Angeles Dodgers, dies at 83 - ESPN | sports",https://news.google.com/__i/rss/rd/articles/CBMiaWh0dHBzOi8vd3d3LmVzcG4uY29tL21sYi9zdG9yeS9fL2lkLzMzNjcwMjk2L3RvbW15LWRhdmlzLTItbmwtYmF0dGluZy1jaGFtcGlvbi1sb3MtYW5nbGVzLWRvZGdlcnMtZGllcy04M9IBdmh0dHBzOi8vd3d3LmVzcG4uY29tL21sYi9zdG9yeS9fL2lkLzMzNjcwMjk2L3RvbW15LWRhdmlzLTItbmwtYmF0dGluZy1jaGFtcGlvbi1sb3MtYW5nbGVzLWRvZGdlcnMtZGllcy04Mz9wbGF0Zm9ybT1hbXA?oc=5,"Mon, 04 Apr 2022 18:33:28 GMT",1649097208,sports
34,"In slaying UConn, Dawn Staley cements South Carolina women's hoops as new powerhouse - Yahoo Sports | sports",https://news.google.com/__i/rss/rd/articles/CBMiemh0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9pbi1zbGF5aW5nLXVjb25uLWRhd24tc3RhbGV5LWNlbWVudHMtc291dGgtY2Fyb2xpbmEtd29tZW5zLWhvb3BzLWFzLW5ldy1wb3dlcmhvdXNlLTA1MzUzMDIyNy5odG1s0gEA?oc=5,"Mon, 04 Apr 2022 05:35:00 GMT",1649050500,sports
35,"Chiefs will have NFL’s hardest 2022 schedule, according to a new calculation - Arrowhead Pride | sports",https://news.google.com/__i/rss/rd/articles/CBMidWh0dHBzOi8vd3d3LmFycm93aGVhZHByaWRlLmNvbS8yMDIyLzQvNC8yMzAxMDE3NS9jaGllZnMtd2lsbC1oYXZlLW5mbHMtaGFyZGVzdC0yMDIyLXNjaGVkdWxlLWFjY29yZGluZy10by1uZXctcmFua2luZ9IBAA?oc=5,"Mon, 04 Apr 2022 18:53:46 GMT",1649098426,sports
36,Browns sign P Corey Bojorquez - clevelandbrowns.com | sports,https://news.google.com/__i/rss/rd/articles/CBMiQmh0dHBzOi8vd3d3LmNsZXZlbGFuZGJyb3ducy5jb20vbmV3cy9icm93bnMtc2lnbi1wLWNvcmV5LWJvam9ycXVletIBAA?oc=5,"Mon, 04 Apr 2022 15:05:13 GMT",1649084713,sports
37,Dylan Van Baarle Reacts To Tadej Pogačar Post-Race Interaction - FloBikes | sports,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9WkhiSWtvUWNzQzDSAQA?oc=5,"Mon, 04 Apr 2022 15:11:18 GMT",1649085078,sports
38,Peyton Manning advising Russell Wilson on transition to Denver Broncos - NFL.com | sports,https://news.google.com/__i/rss/rd/articles/CBMiX2h0dHBzOi8vd3d3Lm5mbC5jb20vbmV3cy9wZXl0b24tbWFubmluZy1hZHZpc2luZy1ydXNzZWxsLXdpbHNvbi1vbi10cmFuc2l0aW9uLXRvLWRlbnZlci1icm9uY29z0gFfaHR0cHM6Ly93d3cubmZsLmNvbS9fYW1wL3BleXRvbi1tYW5uaW5nLWFkdmlzaW5nLXJ1c3NlbGwtd2lsc29uLW9uLXRyYW5zaXRpb24tdG8tZGVudmVyLWJyb25jb3M?oc=5,"Mon, 04 Apr 2022 11:34:00 GMT",1649072040,sports
39,Golden State Warriors head coach Steve Kerr says moments of silence won't solve gun violence - CNN | sports,https://news.google.com/__i/rss/rd/articles/CBMiZWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wNC8wNC91cy9nb2xkZW4tc3RhdGUtd2FycmlvcnMtc3RldmUta2Vyci1zYWNyYW1lbnRvLWd1bi12aW9sZW5jZS9pbmRleC5odG1s0gEA?oc=5,"Mon, 04 Apr 2022 20:45:00 GMT",1649105100,sports
40,"If the Packers are going to trade for a WR, they might want to call about Terry McLaurin - Acme Packing Company | sports",https://news.google.com/__i/rss/rd/articles/CBMif2h0dHBzOi8vd3d3LmFjbWVwYWNraW5nY29tcGFueS5jb20vMjAyMi80LzQvMjMwMDk4NjQvZ3JlZW4tYmF5LXBhY2tlcnMtdHJhZGUtc3VnZ2VzdGlvbi13aWRlLXJlY2VpdmVyLXRlcnJ5LW1jbGF1cmluLWRrLW1ldGNhbGbSAYwBaHR0cHM6Ly93d3cuYWNtZXBhY2tpbmdjb21wYW55LmNvbS9wbGF0Zm9ybS9hbXAvMjAyMi80LzQvMjMwMDk4NjQvZ3JlZW4tYmF5LXBhY2tlcnMtdHJhZGUtc3VnZ2VzdGlvbi13aWRlLXJlY2VpdmVyLXRlcnJ5LW1jbGF1cmluLWRrLW1ldGNhbGY?oc=5,"Mon, 04 Apr 2022 16:41:51 GMT",1649090511,sports
